decade_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,hurt,6,0.0,VBD,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,hurtful,4,0.0067404498063133,VBN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,hype,1,0.0006518904823989,VBN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,ill,114,0.0,NNP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,illuminate,3,0.0050553373547349,VB,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,infidelity,1,0.0010332219691793,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,infinity,1,0.0010332219691793,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,influence,1,0.0010332219691793,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,insane,2,0.000342939251413,VBP,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,insecure,5,0.0051661098458968,NN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,inspire,4,0.0041328878767174,VB,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,intimidate,1,0.0016851124515783,VBP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,inviting,4,0.0041328878767174,VBG,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,irate,1,0.0016851124515783,JJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,iron,3,0.0030996659075381,NNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,jealous,1,0.0006518904823989,JJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,jealousy,3,0.0030996659075381,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,journey,1,0.0006518904823989,NN,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,jump,2,0.0,VB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,kick,9,0.0,VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,kill,1,0.0,VB,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,killing,5,0.0008573481285325,VBG,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,kind,10,0.0,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,kiss,18,0.0,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,kite,3,0.0030996659075381,NN,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,labor,1,0.0016851124515783,NNP,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,late,30,0.0,JJ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,laugh,3,0.0,VBP,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,leave,21,0.0,VB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
0,liberty,1,0.0006518904823989,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,lie,14,0.0,FW,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,lifeless,1,0.0010332219691793,JJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,lightning,1,0.0001714696257065,VBG,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,lion,2,0.0013037809647979,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,loathsome,1,0.0016851124515783,JJ,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,lonely,20,0.0,JJ,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,longing,2,0.0007626629735608,VBG,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
